Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
"Kenneth William ""Ken"" Flax",M,25.0,178.0,98.0,United States,1988,Athletics Men's Hammer Throw,
"Kenneth William ""Ken"" Flax",M,29.0,178.0,98.0,United States,1992,Athletics Men's Hammer Throw,
Svend Aage Frederiksen,M,28.0,,,Denmark,1948,Athletics Men's Hammer Throw,
George Michael Frenn,M,30.0,180.0,111.0,United States,1972,Athletics Men's Hammer Throw,
Juan Fus Fassi,M,43.0,177.0,100.0,Argentina,1948,Athletics Men's Hammer Throw,
Alan Herbert Fyffe,M,23.0,,,Great Britain,1908,Athletics Men's Hammer Throw,
Neville Edward Gadsden,M,37.0,,,Australia,1956,Athletics Men's Hammer Throw,
"Thomas Lewis ""Tom"" Gage",M,29.0,192.0,84.0,United States,1972,Athletics Men's Hammer Throw,
Rudolf Galin,M,24.0,190.0,110.0,Yugoslavia,1952,Athletics Men's Hammer Throw,
Tibor Gcsek,M,23.0,185.0,107.0,Hungary,1988,Athletics Men's Hammer Throw,
Tibor Gcsek,M,27.0,185.0,107.0,Hungary,1992,Athletics Men's Hammer Throw,
Tibor Gcsek,M,35.0,185.0,107.0,Hungary,2000,Athletics Men's Hammer Throw,
Georgios Georgiadis,M,24.0,187.0,106.0,Greece,1972,Athletics Men's Hammer Throw,
Detlef Gerstenberg,M,23.0,186.0,112.0,East Germany,1980,Athletics Men's Hammer Throw,
Pezhman Ghalehnoei,M,24.0,190.0,96.0,Iran,2016,Athletics Men's Hammer Throw,
Khaled Murad Ghaloum,M,22.0,185.0,115.0,Kuwait,1980,Athletics Men's Hammer Throw,
Duncan Gillis,M,29.0,,,Canada,1912,Athletics Men's Hammer Throw,Silver
Simon Peter Gillis,M,28.0,185.0,109.0,United States,1908,Athletics Men's Hammer Throw,
Simon Peter Gillis,M,32.0,185.0,109.0,United States,1912,Athletics Men's Hammer Throw,
Gin Gang-Hwan,M,31.0,,,South Korea,1948,Athletics Men's Hammer Throw,
Carmine di Giorgi,M,21.0,168.0,,Brazil,1932,Athletics Men's Hammer Throw,
Martin Girvan,M,24.0,194.0,118.0,Great Britain,1984,Athletics Men's Hammer Throw,
"Petar ""Pedro"" Goi",M,40.0,175.0,77.0,Yugoslavia,1936,Athletics Men's Hammer Throw,
Ireneusz Golda,M,25.0,189.0,115.0,Poland,1980,Athletics Men's Hammer Throw,
Francisco Gonzlez Suaste,M,,,,Mexico,1948,Athletics Men's Hammer Throw,
"William Ernest ""Bill"" Green",M,24.0,186.0,109.0,United States,1984,Athletics Men's Hammer Throw,
Bernhard Greulich,M,33.0,190.0,101.0,Germany,1936,Athletics Men's Hammer Throw,
Ivan Gubijan,M,25.0,172.0,83.0,Yugoslavia,1948,Athletics Men's Hammer Throw,Silver
Ivan Gubijan,M,29.0,172.0,83.0,Yugoslavia,1952,Athletics Men's Hammer Throw,
Lars Tore Gustafsson,M,26.0,183.0,105.0,Sweden,1988,Athletics Men's Hammer Throw,
Lars Tore Gustafsson,M,30.0,183.0,105.0,Sweden,1992,Athletics Men's Hammer Throw,
Lars Tore Gustafsson,M,34.0,183.0,105.0,Sweden,1996,Athletics Men's Hammer Throw,
"Donald Smith ""Don"" Gwinn",M,25.0,173.0,68.0,United States,1928,Athletics Men's Hammer Throw,
Ralf Haber,M,26.0,191.0,113.0,East Germany,1988,Athletics Men's Hammer Throw,
Karl Viktor Engelbrekt Hackberg,M,20.0,,,Sweden,1912,Athletics Men's Hammer Throw,
Henri Haest,M,25.0,184.0,80.0,Belgium,1952,Athletics Men's Hammer Throw,
Andra Hakli,M,22.0,189.0,103.0,Croatia,2000,Athletics Men's Hammer Throw,
Andra Hakli,M,26.0,189.0,103.0,Croatia,2004,Athletics Men's Hammer Throw,
Andra Hakli,M,30.0,189.0,103.0,Croatia,2008,Athletics Men's Hammer Throw,
Andra Hakli,M,34.0,189.0,103.0,Croatia,2012,Athletics Men's Hammer Throw,
"Albert William ""Al"" Hall",M,22.0,185.0,99.0,United States,1956,Athletics Men's Hammer Throw,
"Albert William ""Al"" Hall",M,26.0,185.0,99.0,United States,1960,Athletics Men's Hammer Throw,
"Albert William ""Al"" Hall",M,30.0,185.0,99.0,United States,1964,Athletics Men's Hammer Throw,
"Albert William ""Al"" Hall",M,34.0,185.0,99.0,United States,1968,Athletics Men's Hammer Throw,
Oiva Sulo Kalervo Halmetoja,M,32.0,178.0,95.0,Finland,1952,Athletics Men's Hammer Throw,
Iosyp Hamskiy,M,22.0,182.0,106.0,Soviet Union,1972,Athletics Men's Hammer Throw,
Thomas Truxtun Hare,M,21.0,185.0,90.0,United States,1900,Athletics Men's Hammer Throw,Silver
"Lawrence Thomas ""Larry"" Hart",M,29.0,183.0,102.0,United States,1976,Athletics Men's Hammer Throw,
Carlos Eduardo Hasbn Zablah,M,19.0,182.0,88.0,El Salvador,1968,Athletics Men's Hammer Throw,
Paul Head,M,27.0,193.0,115.0,Great Britain,1992,Athletics Men's Hammer Throw,
Declan Hegarty,M,23.0,183.0,102.0,Ireland,1984,Athletics Men's Hammer Throw,
Karl Hein,M,28.0,179.0,103.0,Germany,1936,Athletics Men's Hammer Throw,Gold
Sulo Heino,M,27.0,180.0,88.0,Finland,1936,Athletics Men's Hammer Throw,
Eivind Prestegrd Henriksen,M,21.0,191.0,105.0,Norway,2012,Athletics Men's Hammer Throw,
Amanmyrat Hommadow,M,19.0,190.0,117.0,Turkmenistan,2008,Athletics Men's Hammer Throw,
Amanmyrat Hommadow,M,27.0,190.0,117.0,Turkmenistan,2016,Athletics Men's Hammer Throw,
"Marquis Franklin ""Bill"" Horr",M,27.0,183.0,93.0,United States,1908,Athletics Men's Hammer Throw,
"Johan Frederik Marie ""Hans"" Houtzager",M,25.0,,,Netherlands,1936,Athletics Men's Hammer Throw,
"Johan Frederik Marie ""Hans"" Houtzager",M,37.0,,,Netherlands,1948,Athletics Men's Hammer Throw,
Harri Hilmer Huhtala,M,27.0,187.0,108.0,Finland,1980,Athletics Men's Hammer Throw,
Harri Hilmer Huhtala,M,31.0,187.0,108.0,Finland,1984,Athletics Men's Hammer Throw,
Harri Hilmer Huhtala,M,36.0,187.0,108.0,Finland,1988,Athletics Men's Hammer Throw,
Fazal Hussain,M,22.0,,,Pakistan,1952,Athletics Men's Hammer Throw,
Guy Husson,M,25.0,182.0,105.0,France,1956,Athletics Men's Hammer Throw,
Guy Husson,M,29.0,182.0,105.0,France,1960,Athletics Men's Hammer Throw,
Guy Husson,M,33.0,182.0,105.0,France,1964,Athletics Men's Hammer Throw,
Kleanthis Ierissiotis,M,23.0,195.0,92.0,Greece,1976,Athletics Men's Hammer Throw,
Kirill Gennadiyevich Ikonnikov,M,24.0,186.0,112.0,Russia,2008,Athletics Men's Hammer Throw,
Kirill Gennadiyevich Ikonnikov,M,28.0,186.0,112.0,Russia,2012,Athletics Men's Hammer Throw,
Im Dong-Sil,M,27.0,180.0,82.0,South Korea,1964,Athletics Men's Hammer Throw,
Muhammad Iqbal,M,25.0,187.0,97.0,Pakistan,1952,Athletics Men's Hammer Throw,
Muhammad Iqbal,M,29.0,187.0,97.0,Pakistan,1956,Athletics Men's Hammer Throw,
Muhammad Iqbal,M,33.0,187.0,97.0,Pakistan,1960,Athletics Men's Hammer Throw,
Yoshihisa Ishida,M,24.0,178.0,95.0,Japan,1968,Athletics Men's Hammer Throw,
Yoshihisa Ishida,M,28.0,178.0,95.0,Japan,1972,Athletics Men's Hammer Throw,
Carl Johan Jahnzon,M,31.0,,,Sweden,1912,Athletics Men's Hammer Throw,
Emil Janausch,M,35.0,183.0,,Austria,1936,Athletics Men's Hammer Throw,
Roberto Janet Durruty,M,25.0,187.0,106.0,Cuba,2012,Athletics Men's Hammer Throw,
Roberto Janet Durruty,M,29.0,187.0,106.0,Cuba,2016,Athletics Men's Hammer Throw,
Johan Gunnar Jansson,M,34.0,189.0,108.0,Sweden,1932,Athletics Men's Hammer Throw,
Johan Gunnar Jansson,M,38.0,189.0,108.0,Sweden,1936,Athletics Men's Hammer Throw,
Karl Jensen,M,25.0,,,Denmark,1924,Athletics Men's Hammer Throw,
Ral Jimeno Prez,M,25.0,186.0,100.0,Spain,1984,Athletics Men's Hammer Throw,
Tore Johnsen,M,23.0,197.0,115.0,Norway,1984,Athletics Men's Hammer Throw,
Albert A. Johnson,M,25.0,,,United States,1904,Athletics Men's Hammer Throw,
Carl Gunnar Johnson,M,22.0,,,Sweden,1912,Athletics Men's Hammer Throw,
Kibw Rasheid Johnson,M,31.0,188.0,102.0,United States,2012,Athletics Men's Hammer Throw,
Kibw Rasheid Johnson,M,35.0,188.0,102.0,United States,2016,Athletics Men's Hammer Throw,
"Michael David ""Mick"" Jones",M,25.0,187.0,119.0,Great Britain,1988,Athletics Men's Hammer Throw,
Hansruedi Jost,M,26.0,188.0,95.0,Switzerland,1960,Athletics Men's Hammer Throw,
Fumio Kamamoto,M,38.0,,,Japan,1956,Athletics Men's Hammer Throw,
"Hendrik ""Henk"" Kamerbeek",M,30.0,,,Netherlands,1924,Athletics Men's Hammer Throw,
"Hendrik ""Henk"" Kamerbeek",M,34.0,,,Netherlands,1928,Athletics Men's Hammer Throw,
Olli-Pekka Karjalainen,M,20.0,194.0,120.0,Finland,2000,Athletics Men's Hammer Throw,
Olli-Pekka Karjalainen,M,24.0,194.0,120.0,Finland,2004,Athletics Men's Hammer Throw,
Olli-Pekka Karjalainen,M,28.0,194.0,120.0,Finland,2008,Athletics Men's Hammer Throw,
